                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6229,                 35.173,                 1.5768,                0.42539,                0.57208,                0.45336,                0.25284,                 1.4978,                 21.441,                 1.4847,             0.00033294,             0.00033294,             0.00033294
                      2,                 1.4928,                 19.667,                 1.4393,                0.52612,                 0.5686,                0.56024,                0.30568,                 1.5508,                 17.033,                 1.4953,             0.00064978,             0.00064978,             0.00064978
                      3,                 1.4702,                 16.369,                 1.4204,                0.56274,                 0.5826,                0.59619,                0.31849,                 1.5889,                 16.654,                 1.5036,             0.00095012,             0.00095012,             0.00095012
                      4,                 1.4302,                 15.096,                 1.4042,                0.63985,                0.63923,                0.65981,                0.40269,                 1.4144,                 14.831,                  1.399,             0.00092575,             0.00092575,             0.00092575
                      5,                 1.3602,                 13.473,                  1.354,                0.68127,                0.68557,                0.72177,                 0.4404,                 1.3843,                 13.648,                 1.3636,               0.000901,               0.000901,               0.000901
                      6,                 1.3061,                 12.276,                 1.3157,                0.65952,                 0.7094,                0.73946,                0.46175,                 1.3796,                 13.204,                 1.3627,             0.00087625,             0.00087625,             0.00087625
                      7,                 1.2714,                 11.256,                  1.289,                0.68771,                0.71595,                0.74873,                 0.4868,                 1.3408,                 12.854,                 1.3407,              0.0008515,              0.0008515,              0.0008515
                      8,                 1.2291,                 10.434,                 1.2635,                0.69941,                0.75008,                0.78269,                0.50563,                 1.3216,                 12.244,                 1.3234,             0.00082675,             0.00082675,             0.00082675
                      9,                 1.2053,                 9.5935,                 1.2479,                0.71817,                0.74834,                0.78366,                0.50611,                 1.3465,                 12.242,                 1.3413,               0.000802,               0.000802,               0.000802
                     10,                 1.1832,                 8.9893,                 1.2358,                0.75567,                0.76317,                0.80144,                0.53544,                 1.2963,                 11.525,                 1.3202,             0.00077725,             0.00077725,             0.00077725
                     11,                 1.1543,                 8.5157,                 1.2193,                0.77852,                0.77862,                0.82433,                0.53891,                 1.3106,                 11.295,                 1.3223,              0.0007525,              0.0007525,              0.0007525
                     12,                 1.1249,                 7.9794,                 1.1998,                0.79992,                0.76404,                0.82814,                0.56404,                 1.2765,                 11.427,                 1.2938,             0.00072775,             0.00072775,             0.00072775
                     13,                 1.0989,                 7.5358,                 1.1856,                 0.7756,                0.78827,                0.82494,                0.57232,                 1.2382,                 10.884,                   1.28,               0.000703,               0.000703,               0.000703
                     14,                 1.0721,                 7.1494,                 1.1685,                 0.7739,                0.74404,                0.81013,                0.55915,                 1.2501,                 11.569,                 1.2822,             0.00067825,             0.00067825,             0.00067825
                     15,                 1.0591,                 6.8414,                 1.1581,                0.79297,                0.79776,                0.83997,                0.58108,                 1.2512,                 10.767,                  1.278,              0.0006535,              0.0006535,              0.0006535
                     16,                 1.0434,                  6.547,                 1.1487,                0.81415,                0.79209,                0.83955,                0.59876,                 1.2126,                 10.684,                 1.2626,             0.00062875,             0.00062875,             0.00062875
                     17,                 1.0061,                 6.2984,                 1.1286,                0.80696,                0.78477,                0.83283,                 0.5903,                 1.2174,                 10.948,                 1.2748,               0.000604,               0.000604,               0.000604
                     18,                0.98807,                 6.0591,                 1.1194,                0.81613,                0.78787,                0.84099,                0.60317,                  1.208,                  10.43,                 1.2616,             0.00057925,             0.00057925,             0.00057925
                     19,                0.96672,                 5.8056,                 1.1064,                0.80964,                0.79421,                0.83985,                0.60349,                  1.197,                 10.749,                  1.266,              0.0005545,              0.0005545,              0.0005545
                     20,                0.94658,                 5.6625,                 1.0951,                  0.801,                0.80875,                0.84743,                0.61102,                 1.1888,                 10.378,                 1.2609,             0.00052975,             0.00052975,             0.00052975
                     21,                0.90817,                  5.433,                  1.073,                 0.8509,                  0.789,                0.85264,                0.62011,                 1.1776,                 10.252,                 1.2585,               0.000505,               0.000505,               0.000505
                     22,                0.88968,                 5.2575,                 1.0627,                0.80554,                0.81972,                0.84798,                0.61827,                 1.1754,                 10.309,                 1.2548,             0.00048025,             0.00048025,             0.00048025
                     23,                0.87166,                 5.0754,                 1.0531,                0.81887,                0.79319,                0.84782,                0.62244,                 1.1542,                  10.52,                 1.2435,              0.0004555,              0.0004555,              0.0004555
                     24,                0.83944,                 4.9518,                 1.0348,                0.82428,                0.81453,                0.85479,                0.63052,                 1.1467,                 10.176,                 1.2366,             0.00043075,             0.00043075,             0.00043075
                     25,                0.81067,                 4.7515,                 1.0192,                0.82056,                0.83443,                0.86229,                0.63815,                 1.1542,                 10.107,                 1.2544,               0.000406,               0.000406,               0.000406
                     26,                0.78392,                 4.5872,                 1.0063,                0.84053,                0.80841,                0.86009,                0.63882,                 1.1493,                 10.064,                 1.2527,             0.00038125,             0.00038125,             0.00038125
                     27,                0.75181,                 4.4597,                0.98897,                0.81337,                0.82703,                0.85918,                0.63831,                 1.1369,                 10.196,                 1.2509,              0.0003565,              0.0003565,              0.0003565
                     28,                0.71927,                 4.3112,                0.97299,                0.83693,                0.80753,                0.85593,                0.64373,                 1.1204,                 10.225,                 1.2393,             0.00033175,             0.00033175,             0.00033175
                     29,                0.69053,                 4.1842,                  0.959,                0.82148,                  0.832,                0.86289,                0.64531,                 1.1177,                 10.047,                 1.2383,               0.000307,               0.000307,               0.000307
                     30,                0.66161,                  4.038,                0.94484,                0.82975,                0.81028,                 0.8527,                0.64308,                 1.1127,                  10.46,                 1.2379,             0.00028225,             0.00028225,             0.00028225
                     31,                0.62933,                 3.9133,                0.93057,                0.82212,                0.81655,                0.86019,                0.64773,                 1.1105,                 10.412,                 1.2444,              0.0002575,              0.0002575,              0.0002575
