                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4623,                 1.9185,                 1.5977,                0.32409,                0.30961,                   0.25,                0.14661,                 1.3563,                 1.6097,                 1.5882,             0.00033304,             0.00033304,             0.00033304
                      2,                 1.4726,                 1.6093,                 1.6046,                0.73495,                0.25171,                0.27632,                0.17287,                 1.3381,                 1.3012,                 1.5761,             0.00063339,             0.00063339,             0.00063339
                      3,                 1.4274,                  1.538,                 1.5632,                0.90191,                0.24097,                0.25972,                 0.1662,                 1.2365,                 1.3903,                 1.4527,             0.00090073,             0.00090073,             0.00090073
                      4,                 1.3785,                 1.4569,                 1.5322,                0.92041,                0.26298,                0.30444,                0.20581,                 1.1485,                 1.1032,                 1.3779,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.3287,                 1.3733,                 1.4822,                0.91813,                0.27201,                0.31446,                0.21511,                 1.1125,                 1.0444,                 1.3901,               0.000802,               0.000802,               0.000802
                      6,                 1.2978,                 1.3244,                 1.4678,                0.54333,                0.32579,                0.29468,                0.20227,                  1.079,                 1.0998,                 1.3508,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.2682,                 1.2942,                 1.4475,                0.92246,                0.26124,                0.31183,                 0.2185,                  1.083,                 1.0146,                 1.3679,               0.000703,               0.000703,               0.000703
                      8,                 1.2277,                 1.2359,                 1.4218,                0.71059,                0.38601,                0.33005,                0.23663,                 1.0373,                 1.0053,                 1.3147,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.2108,                 1.2064,                 1.4096,                0.93285,                0.27394,                0.33149,                0.23159,                 1.0432,                0.97151,                 1.3043,               0.000604,               0.000604,               0.000604
                     10,                 1.1904,                 1.1716,                 1.3907,                0.58105,                0.37398,                0.32756,                0.22893,                 1.0805,                 1.0555,                 1.3485,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.0799,                0.98904,                 1.3293,                  0.734,                0.35662,                0.35768,                0.25586,                 1.0396,                0.92269,                 1.3278,               0.000505,               0.000505,               0.000505
                     12,                 1.0506,                0.96304,                 1.3002,                0.57866,                0.36737,                 0.3845,                0.28678,                0.99831,                0.87803,                 1.2689,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.0333,                0.92647,                 1.2835,                0.58577,                0.38151,                0.38498,                0.28712,                0.98359,                0.87946,                 1.2564,               0.000406,               0.000406,               0.000406
                     14,                 1.0187,                0.89235,                 1.2773,                 0.6057,                0.39598,                0.38305,                0.28053,                0.99924,                0.84109,                  1.283,              0.0003565,              0.0003565,              0.0003565
                     15,                0.99124,                0.87357,                  1.256,                0.58751,                0.42727,                0.37021,                0.27583,                0.96541,                0.83705,                 1.2445,               0.000307,               0.000307,               0.000307
                     16,                0.97887,                0.85221,                 1.2466,                0.62034,                0.41611,                0.38206,                0.28022,                 0.9773,                0.83242,                 1.2585,              0.0002575,              0.0002575,              0.0002575
