                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5196,                 49.616,                 1.4654,                0.74215,                0.32802,                0.32204,                0.19337,                 1.3705,                  26.91,                 1.3656,             0.00033254,             0.00033254,             0.00033254
                      2,                 1.4562,                  34.99,                 1.4165,                0.59443,                0.35232,                0.31958,                0.19816,                 1.3445,                 24.369,                 1.4121,             0.00063292,             0.00063292,             0.00063292
                      3,                 1.4473,                 30.028,                  1.411,                0.79627,                0.31573,                0.33881,                0.20535,                 1.3619,                 23.444,                 1.4097,             0.00090029,             0.00090029,             0.00090029
                      4,                 1.4319,                 28.008,                   1.41,                0.82861,                0.32305,                0.33611,                0.21483,                 1.2676,                 22.785,                 1.3367,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.3954,                  26.63,                 1.3842,                0.80868,                0.31547,                0.34366,                0.21953,                 1.2539,                   22.1,                  1.337,               0.000802,               0.000802,               0.000802
                      6,                 1.3532,                 25.646,                 1.3588,                0.80061,                0.37479,                0.38842,                0.25014,                 1.2491,                 20.214,                 1.3273,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.3448,                   24.8,                 1.3717,                0.85072,                0.34337,                0.38006,                0.25693,                  1.146,                 19.279,                 1.2693,               0.000703,               0.000703,               0.000703
                      8,                 1.3092,                 23.829,                 1.3415,                0.65612,                0.37085,                0.37209,                0.24913,                  1.186,                 19.388,                 1.2976,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.3001,                 23.063,                 1.3365,                0.87789,                0.35268,                0.40808,                0.27341,                 1.1523,                 18.262,                 1.2754,               0.000604,               0.000604,               0.000604
                     10,                 1.2852,                 22.863,                 1.3358,                0.83533,                0.37412,                0.39194,                 0.2647,                  1.194,                 18.613,                 1.3164,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.1925,                 18.789,                 1.2919,                 0.8668,                0.33987,                0.39606,                0.27065,                 1.1304,                  18.37,                 1.2589,               0.000505,               0.000505,               0.000505
                     12,                 1.1762,                 18.727,                 1.2758,                0.87564,                0.37165,                0.41675,                0.28866,                 1.1106,                 17.995,                 1.2526,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.1539,                 18.103,                 1.2718,                0.83718,                0.37522,                0.41043,                0.27843,                 1.1425,                 18.123,                 1.2707,               0.000406,               0.000406,               0.000406
                     14,                 1.1287,                 17.417,                 1.2493,                0.70279,                0.40138,                0.40851,                0.29038,                 1.0642,                 16.987,                 1.2322,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.1168,                 17.027,                 1.2532,                0.68202,                0.38431,                0.42296,                0.30682,                 1.0693,                 17.027,                 1.2408,               0.000307,               0.000307,               0.000307
                     16,                 1.0977,                 16.237,                 1.2336,                0.70093,                0.46125,                 0.4498,                0.32482,                 1.0591,                 15.936,                 1.2179,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.0757,                   15.9,                 1.2183,                0.70759,                 0.4594,                0.44512,                0.32004,                 1.0604,                 15.431,                 1.2202,               0.000208,               0.000208,               0.000208
                     18,                 1.0647,                 15.201,                 1.2073,                0.66729,                 0.4596,                0.42633,                 0.3142,                  1.016,                 16.208,                 1.1972,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.0546,                 14.848,                 1.1994,                0.71817,                0.44723,                0.44125,                 0.3219,                  1.024,                 14.955,                  1.195,               0.000109,               0.000109,               0.000109
