                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4685,                 2.5397,                 1.4455,                0.55435,                0.34287,                0.29103,                0.18848,                 1.2319,                 1.4564,                 1.2994,             0.00033274,             0.00033274,             0.00033274
                      2,                 1.3757,                 1.6969,                 1.3626,                0.89236,                0.23598,                0.28013,                0.18254,                 1.2058,                 1.4041,                 1.2948,              0.0006331,              0.0006331,              0.0006331
                      3,                 1.3732,                 1.5173,                 1.3706,                0.91717,                0.25958,                0.29925,                0.19086,                 1.3083,                 1.1766,                 1.3515,             0.00090047,             0.00090047,             0.00090047
